612800 1 5 70 100,0.83
1012736 1 7 132 2,0.83
563200 1 16 111 63,0.83
307200 1 4 168 8,0.83
64512 1 20 36 145,0.83
194560 1 10 150 38,0.83
200704 1 9 28 81,0.83
342016 1 15 22 23,0.83
479232 1 19 63 177,0.83
835584 1 9 59 184,0.83
904192 1 17 153 19,0.83
414720 1 15 174 84,0.83
673792 1 20 197 194,0.83
59392 1 9 131 28,0.83
836608 1 4 28 28,0.83
124928 1 13 46 196,0.83
500736 1 6 167 19,0.83
982016 1 12 10 196,0.83
146432 1 4 3 84,0.83
941056 1 18 42 183,0.83
491520 1 2 75 54,0.83
728064 1 1 25 105,0.83
736256 1 15 17 192,0.83
423936 1 13 98 94,0.83
307200 1 19 146 171,0.83
305152 1 18 189 190,0.83
392192 1 20 69 56,0.83
183296 1 11 137 197,0.83
48128 1 18 177 84,0.83
140288 1 11 98 59,0.83
