1146234 3573 3680 6262,0.46
1628136 5942 4094 4891,0.46
1045173 2966 1875 28590,0.46
1993142 1267 5231 18136,0.46
768159 2701 4212 13759,0.46
1374236 4971 1231 23059,0.46
1964968 6817 3873 1423,0.46
16077 1803 5676 9155,0.41
737362 6390 2229 16515,0.46
876574 1390 3715 25338,0.46
319586 2346 2771 1204,0.46
997234 5908 4119 16051,0.46
1711411 1898 3620 11288,0.46
1205799 1677 4766 2988,0.46
339396 5845 5713 13054,0.46
832849 2473 2011 18556,0.46
363493 1717 3006 5031,0.46
1300260 5927 4777 14456,0.46
700362 3608 527 21406,0.46
668661 2916 939 13497,0.46
1169035 3343 5283 20233,0.46
488885 4152 5508 15651,0.46
1207393 1376 3192 13897,0.46
807051 3523 3717 16206,0.46
983872 1994 2927 29064,0.46
835026 1211 515 16109,0.46
108741 1556 1098 13677,0.46
1985435 3910 3022 13152,0.46
1006215 3682 4494 26949,0.46
1398158 3540 4073 27296,0.46
